id_legislatura,entidad,legislatura,inicio_legislatura,fin_legislatura,ejercicio_constitucional,inicio_ec,fin_ec,periodos_reportar,inicio_pr,fin_pr,observaciones,articulo,fuente,
1,Durango,LXIX,01/09/2021,31/08/2024,Primer año,01/09/2021,31/08/2022,Primer periodo ordinario,01/09/2021,15/12/2021,Inició el 1 de septiembre de 2021 y concluirá el 31 de agosto de 2024,Artículo 76. ,https://congresodurango.gob.mx/Archivos/legislacion/CONSTITUCION%20POLITICA%20DEL%20ESTADO%20%28NUEVA%29.pdf,
2,Durango,LXIX,01/09/2021,31/08/2024,Primer año,01/09/2021,31/08/2022,Primer periodo de receso,16/12/2021,15/02/2022,Inició el 1 de septiembre de 2021 y concluirá el 31 de agosto de 2024,Artículo 76. ,https://congresodurango.gob.mx/Archivos/legislacion/CONSTITUCION%20POLITICA%20DEL%20ESTADO%20%28NUEVA%29.pdf,
3,Durango,LXIX,01/09/2021,31/08/2024,Primer año,01/09/2021,31/08/2022,Segundo periodo ordinario,15/02/2022,31/05/2022,Inició el 1 de septiembre de 2021 y concluirá el 31 de agosto de 2024,Artículo 76. ,https://congresodurango.gob.mx/Archivos/legislacion/CONSTITUCION%20POLITICA%20DEL%20ESTADO%20%28NUEVA%29.pdf,
4,Durango,LXIX,01/09/2021,31/08/2024,Primer año,01/09/2021,31/08/2022,Segundo periodo de receso,01/06/2022,31/08/2022,Inició el 1 de septiembre de 2021 y concluirá el 31 de agosto de 2024,Artículo 76. ,https://congresodurango.gob.mx/Archivos/legislacion/CONSTITUCION%20POLITICA%20DEL%20ESTADO%20%28NUEVA%29.pdf,
5,Durango,LXIX,01/09/2021,31/08/2024,Segundo año,01/09/2022,31/08/2023,Primer periodo ordinario,01/09/2022,15/12/2022,Inició el 1 de septiembre de 2021 y concluirá el 31 de agosto de 2024,Artículo 76. ,https://congresodurango.gob.mx/Archivos/legislacion/CONSTITUCION%20POLITICA%20DEL%20ESTADO%20%28NUEVA%29.pdf,
6,Durango,LXIX,01/09/2021,31/08/2024,Segundo año,01/09/2022,31/08/2023,Primer periodo de receso,16/12/2022,15/02/2023,Inició el 1 de septiembre de 2021 y concluirá el 31 de agosto de 2024,Artículo 76. ,https://congresodurango.gob.mx/Archivos/legislacion/CONSTITUCION%20POLITICA%20DEL%20ESTADO%20%28NUEVA%29.pdf,
7,Durango,LXIX,01/09/2021,31/08/2024,Segundo año,01/09/2022,31/08/2023,Segundo periodo ordinario,15/02/2023,31/05/2023,Inició el 1 de septiembre de 2021 y concluirá el 31 de agosto de 2024,Artículo 76. ,https://congresodurango.gob.mx/Archivos/legislacion/CONSTITUCION%20POLITICA%20DEL%20ESTADO%20%28NUEVA%29.pdf,
8,Durango,LXIX,01/09/2021,31/08/2024,Segundo año,01/09/2022,31/08/2023,Segundo periodo de receso,01/06/2023,31/08/2023,Inició el 1 de septiembre de 2021 y concluirá el 31 de agosto de 2024,Artículo 76. ,https://congresodurango.gob.mx/Archivos/legislacion/CONSTITUCION%20POLITICA%20DEL%20ESTADO%20%28NUEVA%29.pdf,
9,Durango,LXIX,01/09/2021,31/08/2024,Tercer año,01/09/2023,31/08/2024,Primer periodo ordinario,01/09/2023,15/12/2023,Inició el 1 de septiembre de 2021 y concluirá el 31 de agosto de 2024,Artículo 76. ,https://congresodurango.gob.mx/Archivos/legislacion/CONSTITUCION%20POLITICA%20DEL%20ESTADO%20%28NUEVA%29.pdf,
10,Durango,LXIX,01/09/2021,31/08/2024,Tercer año,01/09/2023,31/08/2024,Primer periodo de receso,16/12/2023,15/02/2024,Inició el 1 de septiembre de 2021 y concluirá el 31 de agosto de 2024,Artículo 76. ,https://congresodurango.gob.mx/Archivos/legislacion/CONSTITUCION%20POLITICA%20DEL%20ESTADO%20%28NUEVA%29.pdf,
11,Durango,LXIX,01/09/2021,31/08/2024,Tercer año,01/09/2023,31/08/2024,Segundo periodo ordinario,15/02/2024,31/05/2024,Inició el 1 de septiembre de 2021 y concluirá el 31 de agosto de 2024,Artículo 76. ,https://congresodurango.gob.mx/Archivos/legislacion/CONSTITUCION%20POLITICA%20DEL%20ESTADO%20%28NUEVA%29.pdf,
12,Durango,LXIX,01/09/2021,31/08/2024,Tercer año,01/09/2023,31/08/2024,Segundo periodo de receso,01/06/2024,31/08/2024,Inició el 1 de septiembre de 2021 y concluirá el 31 de agosto de 2024,Artículo 76. ,https://congresodurango.gob.mx/Archivos/legislacion/CONSTITUCION%20POLITICA%20DEL%20ESTADO%20%28NUEVA%29.pdf,
1,Guanajuato,LXV,25/09/2021,24/09/2024,Primer año,25/09/2021,24/09/2022,Primer periodo ordinario,25/09/2021,31/12/2022,Inició el 25 de septiembre de 2021 y concluirán el 24 de septiembre de 2024,Artículo 51. ,https://bj.scjn.gob.mx/doc/legislacion/bdJP8HMB1tiV43eLWzAY/%22Parlamento%22,
2,Guanajuato,LXV,25/09/2021,24/09/2024,Primer año,25/09/2021,24/09/2022,Primer periodo de receso,01/01/2022,14/02/2022,Inició el 25 de septiembre de 2021 y concluirán el 24 de septiembre de 2024,Artículo 51. ,https://bj.scjn.gob.mx/doc/legislacion/bdJP8HMB1tiV43eLWzAY/%22Parlamento%22,
3,Guanajuato,LXV,25/09/2021,24/09/2024,Primer año,25/09/2021,24/09/2022,Segundo periodo ordinario,15/02/2022,30/06/2022,Inició el 25 de septiembre de 2021 y concluirán el 24 de septiembre de 2024,Artículo 51. ,https://bj.scjn.gob.mx/doc/legislacion/bdJP8HMB1tiV43eLWzAY/%22Parlamento%22,
4,Guanajuato,LXV,25/09/2021,24/09/2024,Primer año,25/09/2021,24/09/2022,Segundo periodo de receso,01/07/2022,24/09/2022,Inició el 25 de septiembre de 2021 y concluirán el 24 de septiembre de 2024,Artículo 51. ,https://bj.scjn.gob.mx/doc/legislacion/bdJP8HMB1tiV43eLWzAY/%22Parlamento%22,
5,Guanajuato,LXV,25/09/2021,24/09/2024,Segundo año,25/09/2022,24/09/2023,Primer periodo ordinario,25/09/2022,31/12/2022,Inició el 25 de septiembre de 2021 y concluirán el 24 de septiembre de 2024,Artículo 51. ,https://bj.scjn.gob.mx/doc/legislacion/bdJP8HMB1tiV43eLWzAY/%22Parlamento%22,
6,Guanajuato,LXV,25/09/2021,24/09/2024,Segundo año,25/09/2022,24/09/2023,Primer periodo de receso,01/01/2023,14/02/2023,Inició el 25 de septiembre de 2021 y concluirán el 24 de septiembre de 2024,Artículo 51. ,https://bj.scjn.gob.mx/doc/legislacion/bdJP8HMB1tiV43eLWzAY/%22Parlamento%22,
7,Guanajuato,LXV,25/09/2021,24/09/2024,Segundo año,25/09/2022,24/09/2023,Segundo periodo ordinario,15/02/2023,30/06/2022,Inició el 25 de septiembre de 2021 y concluirán el 24 de septiembre de 2024,Artículo 51. ,https://bj.scjn.gob.mx/doc/legislacion/bdJP8HMB1tiV43eLWzAY/%22Parlamento%22,
8,Guanajuato,LXV,25/09/2021,24/09/2024,Segundo año,25/09/2022,24/09/2023,Segundo periodo de receso,01/07/2023,24/09/2023,Inició el 25 de septiembre de 2021 y concluirán el 24 de septiembre de 2024,Artículo 51. ,https://bj.scjn.gob.mx/doc/legislacion/bdJP8HMB1tiV43eLWzAY/%22Parlamento%22,
9,Guanajuato,LXV,25/09/2021,24/09/2024,Tercer año,25/09/2023,24/09/2024,Primer periodo ordinario,25/09/2023,31/12/2023,Inició el 25 de septiembre de 2021 y concluirán el 24 de septiembre de 2024,Artículo 51. ,https://bj.scjn.gob.mx/doc/legislacion/bdJP8HMB1tiV43eLWzAY/%22Parlamento%22,
10,Guanajuato,LXV,25/09/2021,24/09/2024,Tercer año,25/09/2023,24/09/2024,Primer periodo de receso,01/01/2024,14/02/2024,Inició el 25 de septiembre de 2021 y concluirán el 24 de septiembre de 2024,Artículo 51. ,https://bj.scjn.gob.mx/doc/legislacion/bdJP8HMB1tiV43eLWzAY/%22Parlamento%22,
11,Guanajuato,LXV,25/09/2021,24/09/2024,Tercer año,25/09/2023,24/09/2024,Segundo periodo ordinario,15/02/2024,30/06/2024,Inició el 25 de septiembre de 2021 y concluirán el 24 de septiembre de 2024,Artículo 51. ,https://bj.scjn.gob.mx/doc/legislacion/bdJP8HMB1tiV43eLWzAY/%22Parlamento%22,
12,Guanajuato,LXV,25/09/2021,24/09/2024,Tercer año,25/09/2023,24/09/2024,Segundo periodo de receso,01/07/2024,24/09/2024,Inició el 25 de septiembre de 2021 y concluirán el 24 de septiembre de 2024,Artículo 51. ,https://bj.scjn.gob.mx/doc/legislacion/bdJP8HMB1tiV43eLWzAY/%22Parlamento%22,
1,Guerrero,LXIII,01/09/2021,31/08/2024,Primer año,01/09/2021,31/08/2022,Primer periodo ordinario,01/09/2021,15/01/2022,Inició el 1 de septiembre de 2021 y concluirá el 31 de agosto de 2024,Artículo 43.,https://congresogro.gob.mx/legislacion/leyes-organicas.php,
2,Guerrero,LXIII,01/09/2021,31/08/2024,Primer año,01/09/2021,31/08/2022,Primer periodo de receso,16/01/2022,28/02/2022,Inició el 1 de septiembre de 2021 y concluirá el 31 de agosto de 2024,Artículo 43.,https://congresogro.gob.mx/legislacion/leyes-organicas.php,
3,Guerrero,LXIII,01/09/2021,31/08/2024,Primer año,01/09/2021,31/08/2022,Segundo periodo ordinario,01/03/2022,15/06/2022,Inició el 1 de septiembre de 2021 y concluirá el 31 de agosto de 2024,Artículo 43.,https://congresogro.gob.mx/legislacion/leyes-organicas.php,
4,Guerrero,LXIII,01/09/2021,31/08/2024,Primer año,01/09/2021,31/08/2022,Segundo periodo de receso,16/06/2022,31/08/2022,Inició el 1 de septiembre de 2021 y concluirá el 31 de agosto de 2024,Artículo 43.,https://congresogro.gob.mx/legislacion/leyes-organicas.php,
5,Guerrero,LXIII,01/09/2021,31/08/2024,Segundo año,01/09/2022,31/08/2023,Primer periodo ordinario,01/09/2022,15/01/2023,Inició el 1 de septiembre de 2021 y concluirá el 31 de agosto de 2024,Artículo 43.,https://congresogro.gob.mx/legislacion/leyes-organicas.php,
6,Guerrero,LXIII,01/09/2021,31/08/2024,Segundo año,01/09/2022,31/08/2023,Primer periodo de receso,16/01/2023,28/02/2023,Inició el 1 de septiembre de 2021 y concluirá el 31 de agosto de 2024,Artículo 43.,https://congresogro.gob.mx/legislacion/leyes-organicas.php,
7,Guerrero,LXIII,01/09/2021,31/08/2024,Segundo año,01/09/2022,31/08/2023,Segundo periodo ordinario,01/03/2023,15/06/2023,Inició el 1 de septiembre de 2021 y concluirá el 31 de agosto de 2024,Artículo 43.,https://congresogro.gob.mx/legislacion/leyes-organicas.php,
8,Guerrero,LXIII,01/09/2021,31/08/2024,Segundo año,01/09/2022,31/08/2023,Segundo periodo de receso,16/06/2023,31/08/2023,Inició el 1 de septiembre de 2021 y concluirá el 31 de agosto de 2024,Artículo 43.,https://congresogro.gob.mx/legislacion/leyes-organicas.php,
9,Guerrero,LXIII,01/09/2021,31/08/2024,Tercer año,01/09/2023,31/08/2024,Primer periodo ordinario,01/09/2023,15/01/2024,Inició el 1 de septiembre de 2021 y concluirá el 31 de agosto de 2024,Artículo 43.,https://congresogro.gob.mx/legislacion/leyes-organicas.php,
10,Guerrero,LXIII,01/09/2021,31/08/2024,Tercer año,01/09/2023,31/08/2024,Primer periodo de receso,16/01/2024,28/02/2024,Inició el 1 de septiembre de 2021 y concluirá el 31 de agosto de 2024,Artículo 43.,https://congresogro.gob.mx/legislacion/leyes-organicas.php,
11,Guerrero,LXIII,01/09/2021,31/08/2024,Tercer año,01/09/2023,31/08/2024,Segundo periodo ordinario,01/03/2024,15/06/2024,Inició el 1 de septiembre de 2021 y concluirá el 31 de agosto de 2024,Artículo 43.,https://congresogro.gob.mx/legislacion/leyes-organicas.php,
12,Guerrero,LXIII,01/09/2021,31/08/2024,Tercer año,01/09/2023,31/08/2024,Segundo periodo de receso,16/06/2024,31/08/2024,Inició el 1 de septiembre de 2021 y concluirá el 31 de agosto de 2024,Artículo 43.,https://congresogro.gob.mx/legislacion/leyes-organicas.php,
1,Hidalgo,LXV,05/09/2021,04/09/2024,Primer año,05/09/2021,04/09/2022,Primer periodo ordinario,05/09/2021,31/12/2021,"Inició el 5 de septiembre de 2021, y concluirá su periodo el 4 de septiembre de 2024",Artículo 38.,http://www.congreso-hidalgo.gob.mx/biblioteca_legislativa/Leyes/10Constitucion%20Politica%20del%20Estado%20de%20Hidalgo.pdf,
2,Hidalgo,LXV,05/09/2021,04/09/2024,Primer año,05/09/2021,04/09/2022,Primer periodo de receso,01/01/2022,28/02/2022,"Inició el 5 de septiembre de 2021, y concluirá su periodo el 4 de septiembre de 2024",Artículo 38.,http://www.congreso-hidalgo.gob.mx/biblioteca_legislativa/Leyes/10Constitucion%20Politica%20del%20Estado%20de%20Hidalgo.pdf,
3,Hidalgo,LXV,05/09/2021,04/09/2024,Primer año,05/09/2021,04/09/2022,Segundo periodo ordinario,01/03/2022,31/07/2022,"Inició el 5 de septiembre de 2021, y concluirá su periodo el 4 de septiembre de 2024",Artículo 38.,http://www.congreso-hidalgo.gob.mx/biblioteca_legislativa/Leyes/10Constitucion%20Politica%20del%20Estado%20de%20Hidalgo.pdf,
4,Hidalgo,LXV,05/09/2021,04/09/2024,Primer año,05/09/2021,04/09/2022,Segundo periodo de receso,01/08/2022,04/09/2022,"Inició el 5 de septiembre de 2021, y concluirá su periodo el 4 de septiembre de 2024",Artículo 38.,http://www.congreso-hidalgo.gob.mx/biblioteca_legislativa/Leyes/10Constitucion%20Politica%20del%20Estado%20de%20Hidalgo.pdf,
5,Hidalgo,LXV,05/09/2021,04/09/2024,Segundo año,05/09/2022,04/09/2023,Primer periodo ordinario,05/09/2022,31/12/2022,"Inició el 5 de septiembre de 2021, y concluirá su periodo el 4 de septiembre de 2024",Artículo 38.,http://www.congreso-hidalgo.gob.mx/biblioteca_legislativa/Leyes/10Constitucion%20Politica%20del%20Estado%20de%20Hidalgo.pdf,
6,Hidalgo,LXV,05/09/2021,04/09/2024,Segundo año,05/09/2022,04/09/2023,Primer periodo de receso,01/01/2023,28/02/2023,"Inició el 5 de septiembre de 2021, y concluirá su periodo el 4 de septiembre de 2024",Artículo 38.,http://www.congreso-hidalgo.gob.mx/biblioteca_legislativa/Leyes/10Constitucion%20Politica%20del%20Estado%20de%20Hidalgo.pdf,
7,Hidalgo,LXV,05/09/2021,04/09/2024,Segundo año,05/09/2022,04/09/2023,Segundo periodo ordinario,01/03/2023,31/07/2023,"Inició el 5 de septiembre de 2021, y concluirá su periodo el 4 de septiembre de 2024",Artículo 38.,http://www.congreso-hidalgo.gob.mx/biblioteca_legislativa/Leyes/10Constitucion%20Politica%20del%20Estado%20de%20Hidalgo.pdf,
8,Hidalgo,LXV,05/09/2021,04/09/2024,Segundo año,05/09/2022,04/09/2023,Segundo periodo de receso,01/08/2023,04/09/2023,"Inició el 5 de septiembre de 2021, y concluirá su periodo el 4 de septiembre de 2024",Artículo 38.,http://www.congreso-hidalgo.gob.mx/biblioteca_legislativa/Leyes/10Constitucion%20Politica%20del%20Estado%20de%20Hidalgo.pdf,
9,Hidalgo,LXV,05/09/2021,04/09/2024,Tercer año,05/09/2023,04/09/2024,Primer periodo ordinario,05/09/2023,31/12/2023,"Inició el 5 de septiembre de 2021, y concluirá su periodo el 4 de septiembre de 2024",Artículo 38.,http://www.congreso-hidalgo.gob.mx/biblioteca_legislativa/Leyes/10Constitucion%20Politica%20del%20Estado%20de%20Hidalgo.pdf,
10,Hidalgo,LXV,05/09/2021,04/09/2024,Tercer año,05/09/2023,04/09/2024,Primer periodo de receso,01/01/2024,28/02/2024,"Inició el 5 de septiembre de 2021, y concluirá su periodo el 4 de septiembre de 2024",Artículo 38.,http://www.congreso-hidalgo.gob.mx/biblioteca_legislativa/Leyes/10Constitucion%20Politica%20del%20Estado%20de%20Hidalgo.pdf,
11,Hidalgo,LXV,05/09/2021,04/09/2024,Tercer año,05/09/2023,04/09/2024,Segundo periodo ordinario,01/03/2024,31/07/2024,"Inició el 5 de septiembre de 2021, y concluirá su periodo el 4 de septiembre de 2024",Artículo 38.,http://www.congreso-hidalgo.gob.mx/biblioteca_legislativa/Leyes/10Constitucion%20Politica%20del%20Estado%20de%20Hidalgo.pdf,
12,Hidalgo,LXV,05/09/2021,04/09/2024,Tercer año,05/09/2023,04/09/2024,Segundo periodo de receso,01/08/2024,04/09/2024,"Inició el 5 de septiembre de 2021, y concluirá su periodo el 4 de septiembre de 2024",Artículo 38.,http://www.congreso-hidalgo.gob.mx/biblioteca_legislativa/Leyes/10Constitucion%20Politica%20del%20Estado%20de%20Hidalgo.pdf,
